Metric,Source,Harmony,Unintegrated,Scanorama,scGen,scVI,scANVI
ARI,source_10,0.34216350528895,0.495239083995795,0.215942782339462,0.94138424600248,0.0784543878742403,0.207740762192974
ARI,source_11,0.145513451123787,0.268461191763248,0.484191631348189,0.637427958835842,0.0402698176005448,0.289520334893754
ARI,source_13,0.150594949498347,0.157116242027843,0.12722278786986,0.394472002271138,0.0573607778748271,0.322614965370528
ARI,source_2,0.3080303325138,0.670659720083227,0.253269929600667,0.9373225403168,0.0703952008743257,0.309666826016892
ARI,source_3,0.118114797256615,0.596817012079092,0.493208261998293,0.966098585213909,0.190241205531483,0.645995640044445
ARI,source_4,0.0735807382808596,0.55068795892494,0.246233681712694,0.975071546401373,0.039457633631965,0.295703676179587
ARI,source_5,0.15410858768294,0.758170642210752,0.427648876375589,0.426593588345048,0.0658458953384586,0.192021079211902
ARI,source_6,0.125600427902745,0.758328093583976,0.336770350697525,0.924502765285198,0.20449905742976,0.468494282900354
ARI,source_7,0.252407426850018,0.534212343249089,0.468760758413899,0.961968985813252,0.215977413442016,0.348367331233726
ARI,source_8,0.252908910126583,0.481024382254075,0.300547111157081,0.26224158628359,0.192014258067584,0.272235715126333
ARI,source_9,0.0761862123087747,0.093548534833413,0.255715301193952,0.0322045937882173,0.0330058992481642,0.108556219318022
Batch_ASW,source_10,0.537792094682027,0.378399409824245,0.580845748683198,0.620088164405722,0.568934161414381,0.556080799231369
Batch_ASW,source_11,0.628498127289975,0.474994926172405,0.677549920836332,0.603488708297196,0.728176244326907,0.711581448881569
Batch_ASW,source_13,0.748272253035826,0.461407129252457,0.797847974331508,0.616132405229562,0.58669477733973,0.70492849342617
Batch_ASW,source_2,0.589419999041867,0.276124122777767,0.70105509633556,0.579871012015747,0.569550719717405,0.675983761770738
Batch_ASW,source_3,0.706441831563956,0.384524879148737,0.760761169001245,0.564381285958135,0.693735087261352,0.73509924623687
Batch_ASW,source_4,0.663446911962998,0.463836236463613,0.813782856254318,0.577619848556645,0.466871203388762,0.754827894038117
Batch_ASW,source_5,0.721871160838483,0.46475648164788,0.818087294225986,0.55017032220704,0.466949215288916,0.69342823312632
Batch_ASW,source_6,0.7271622233346,0.400028636620331,0.766268616853148,0.566106252185822,0.586556335047993,0.742693377147805
Batch_ASW,source_7,0.493289298227899,0.337560231765412,0.619909971492243,0.599477676629898,0.547439126715094,0.626099045165199
Batch_ASW,source_8,0.283772615201043,0.208746748631052,0.415245865154565,0.631822248088518,0.480803942125028,0.276044266322964
Batch_ASW,source_9,0.637663031213941,0.458049321998178,0.533658859112497,0.7053569180919,0.662767759171825,0.673870028013371
Graph_connectivity,source_10,0.289900662251656,0.181788079470199,0.302576572847682,0.993929359823399,0.192273730684327,0.364845474613687
Graph_connectivity,source_11,0.415602333648691,0.200764742983286,0.476577282403027,0.986518448438978,0.216926836959949,0.575922421948912
Graph_connectivity,source_13,0.325343240187369,0.182615894039735,0.333261993215959,0.988134657836645,0.198886824960965,0.362086092715232
Graph_connectivity,source_2,0.284305397007407,0.129869732470712,0.301764743046925,0.996494142332576,0.13004817154507,0.315549047036195
Graph_connectivity,source_3,0.552566225165563,0.11668805187638,0.430091749448124,0.997746274834437,0.132850441501104,0.721970198675497
Graph_connectivity,source_4,0.425252862431603,0.0992824141671939,0.327703617305761,0.998868810204696,0.0898208454356662,0.70012377632122
Graph_connectivity,source_5,0.266316345138689,0.0691465111814953,0.290953014024858,0.996197226821192,0.0842713732124004,0.500742521175257
Graph_connectivity,source_6,0.433431539901569,0.108940706525436,0.375823733738499,0.996609902239041,0.113850186178693,0.681292163664583
Graph_connectivity,source_7,0.306283999526963,0.158230842005676,0.2894394512772,0.992904446546831,0.156575212866604,0.502838221381268
Graph_connectivity,source_8,0.278973509933775,0.252897350993377,0.337101614238411,0.989238410596026,0.257450331125828,0.320364238410596
Graph_connectivity,source_9,0.168681590323767,0.136089266004415,0.20618762647167,0.377355534860191,0.104303198583517,0.262394223693893
Isolated_labels_ASW,source_10,0.364889651536942,0.344631724059582,0.4327757301195,0.999997064471245,0.242814630270004,0.334502890706062
Isolated_labels_ASW,source_11,0.212890923023224,0.19090873003006,0.429429349096144,0.99999076128006,0.197235316038132,0.4022311642766
Isolated_labels_ASW,source_13,0.366360624134541,0.346883741021156,0.390959083511815,0.99999366402626,0.20467212498188,0.378063318878412
Isolated_labels_ASW,source_2,0.342313632369041,0.328428789973259,0.393688175187554,0.99999463558197,0.276646301150322,0.378547690808773
Isolated_labels_ASW,source_3,0.436515614390373,0.463956136256456,0.462604836660982,0.999995440244675,0.455646157264709,0.419724717736244
Isolated_labels_ASW,source_4,0.453158307820559,0.427925303578377,0.43993655966834,0.999998211860657,0.263631403446198,0.382344514131546
Isolated_labels_ASW,source_5,0.445540990680456,0.368215724825859,0.483076091602029,0.999988079071045,0.381770711392164,0.340169172734022
Isolated_labels_ASW,source_6,0.281892970204353,0.261943653225899,0.435801594485731,0.999998450279236,0.190784126520157,0.347951680421829
Isolated_labels_ASW,source_7,0.351682315697733,0.340521558921858,0.410392899584008,0.962330728211126,0.310149373967719,0.412097961111811
Isolated_labels_ASW,source_8,0.273500221553228,0.280879081282395,0.372846792555009,0.957429462369988,0.314623539268181,0.333618176422569
Isolated_labels_ASW,source_9,0.285546303782242,0.240627620739258,0.460384914426274,0.338262970024588,0.24567595721278,0.375000480384742
Isolated_labels_F1,source_10,0.087719298245614,0.0777616279069767,0.0791925465838509,0.727272727272727,0.0466875326030256,0.0427819720887669
Isolated_labels_F1,source_11,0.0327868852459016,0.0408163265306122,0.0833333333333333,0.533333333333333,0.0327868852459016,0.0394736842105263
Isolated_labels_F1,source_13,0.0635371867286179,0.0567677257535166,0.0544563501232166,0.31902054307155,0.0469143387851144,0.0411330129002037
Isolated_labels_F1,source_2,0.0363636363636364,0.0512820512820513,0.0677966101694915,0.444444444444444,0.032258064516129,0.0291970802919708
Isolated_labels_F1,source_3,0.0347826086956522,0.0380952380952381,0.0373831775700935,1,0.0410958904109589,0.16988416988417
Isolated_labels_F1,source_4,0.094488188976378,0.0258064516129032,0.0668896321070234,1,0.053763440860215,0.213740458015267
Isolated_labels_F1,source_5,0.0676320979964705,0.0402402402402402,0.107371548588699,0.523647798742138,0.0523206751054852,0.163630603516553
Isolated_labels_F1,source_6,0.0666666666666667,0.08,0.075,1,0.0359281437125749,0.0576923076923077
Isolated_labels_F1,source_7,0.0875919812458575,0.0719057132266716,0.0833922598816988,0.873972216281446,0.0552137356456758,0.136926593489846
Isolated_labels_F1,source_8,0.0773123208681304,0.0707010830175648,0.0902183771617266,0.248236519052737,0.0580045190439688,0.0858723159874182
Isolated_labels_F1,source_9,0.0905841867309939,0.0855449473166071,0.107919611939593,0.0890215612316505,0.0462899816405736,0.129619166246519
NMI,source_10,0.505962039710491,0.468266147571314,0.495817042971326,0.955191664569444,0.324982932927543,0.522459584537734
NMI,source_11,0.554003547332975,0.452557285436004,0.583859602474122,0.92256721347009,0.359030470310606,0.621495171196063
NMI,source_13,0.453449461478272,0.370004620330958,0.440383193371204,0.894739519469863,0.3579335701571,0.48057997534869
NMI,source_2,0.531390535024235,0.457660789909783,0.527217919198745,0.962628594390256,0.356173626713099,0.55644853450305
NMI,source_3,0.598889516589457,0.396043146531419,0.598250087951007,0.973581400858937,0.409832460594889,0.73626642092111
NMI,source_4,0.476965367501435,0.315061223246791,0.46236037405871,0.982568786916876,0.295413929263205,0.684941723128579
NMI,source_5,0.443529395596728,0.338425256888392,0.486381866698734,0.939672015031349,0.345419990011432,0.603043046796306
NMI,source_6,0.566750781089819,0.44025121062009,0.54955303451693,0.965063051213829,0.36203345027331,0.700088744242835
NMI,source_7,0.515770098899855,0.467808149021773,0.503052028777523,0.964863900580779,0.37354715272154,0.616770169376644
NMI,source_8,0.498842585659031,0.497370195889425,0.501262200545275,0.767098070917925,0.395327304198521,0.515242646954538
NMI,source_9,0.417541260009362,0.410559423908501,0.45329620995272,0.353073335276569,0.22112396251169,0.412642871654328
PCR_comparison,source_10,0.0867938591553034,NA,0.575499328651839,0.999986486798179,0.854026712848964,0.919797729451889
PCR_comparison,source_11,0.485750962284394,NA,0.539010681724171,0.999965409540567,0,0.978122127962199
PCR_comparison,source_13,0.241667454145845,NA,0.192629675675474,0.998625178059687,0,0.989516563006545
PCR_comparison,source_2,0.118592961221054,NA,0.0726752320865245,0.999995935533617,0.983727588121296,0.959351368481001
PCR_comparison,source_3,0.90844158763089,NA,0.31720599386879,0.999999000082117,0.957343773265857,0.997955623324498
PCR_comparison,source_4,0.911918860459304,NA,0,0.999987587025632,0.737881341506524,0.994682560735946
PCR_comparison,source_5,0.884332172636733,NA,0.439249775819033,0.999995878882724,0.982255456592888,0.996733301598903
PCR_comparison,source_6,0.624020092686292,NA,0.56681646612294,0.999996883198402,0.599965420649617,0.979882571599747
PCR_comparison,source_7,0.301477516932982,NA,0.636325404872251,0.999999567032313,0.50212418853293,0.973500893537326
PCR_comparison,source_8,0.0914365310245066,NA,0.218577994658468,0.999999992812744,0.512900392490322,0.950951645180422
PCR_comparison,source_9,0.645942894665479,NA,0.455904956639143,0.996740987400951,0,0.80749675619861
Silhouette,source_10,0.419116862118244,0.419756881892681,0.429651927543594,0.930294066667557,0.270462572574615,0.414683490991592
Silhouette,source_11,0.407118901610374,0.423837997019291,0.42358039561478,0.853891015052795,0.341923624277115,0.483178796246648
Silhouette,source_13,0.395058393478394,0.419222831726074,0.390895558979618,0.814085811376572,0.237216621637344,0.456404883414507
Silhouette,source_2,0.44335401058197,0.445506438612938,0.483933575721598,0.878873467445374,0.302633851766586,0.470044804736972
Silhouette,source_3,0.483297614380717,0.517867004498839,0.510612020672013,0.935872673988342,0.448084738105536,0.487286008894444
Silhouette,source_4,0.462217055261135,0.486257419921458,0.469380856298501,0.862738728523254,0.357119649648666,0.504585892893374
Silhouette,source_5,0.461708717048168,0.493324637413025,0.487425858347923,0.820935189723969,0.401182867586613,0.453407388180494
Silhouette,source_6,0.485303233377635,0.492974241729826,0.468378130674593,0.838900625705719,0.434699267148972,0.51067587453872
Silhouette,source_7,0.440431244671345,0.442211378365755,0.445802361589153,0.936867028474808,0.391770772635937,0.484767857007682
Silhouette,source_8,0.380188703536987,0.393015474081039,0.425717914512232,0.808758735656738,0.375558234751225,0.424311496317387
Silhouette,source_9,0.376730151474476,0.353267282247543,0.46410576272825,0.315665423870087,0.307229310274124,0.411023817956448
cLISI,source_10,0.957585671498408,0.948486759457685,0.960418801733591,1,0.959789679208929,0.963461541706684
cLISI,source_11,0.971605665282159,0.956538849872077,0.971132573231144,1,0.972867783258602,0.974359672664285
cLISI,source_13,0.963285312018931,0.95477082683615,0.963863715376389,0.999907635499986,0.963379330860611,0.965654702446577
cLISI,source_2,0.96593429898737,0.951211451509081,0.967678349665691,1,0.957508357129197,0.969520826089478
cLISI,source_3,0.980974775489834,0.966307172059943,0.981134756900539,1,0.966190555466481,0.98961038093451
cLISI,source_4,0.975014476357701,0.958322046819808,0.97107838670677,1,0.961952974891502,0.988006597433665
cLISI,source_5,0.97145749833163,0.955465577877832,0.972151808259634,1,0.958579260958213,0.983052057085797
cLISI,source_6,0.976457088427642,0.95399297965439,0.975127492590268,1,0.961411731484422,0.988629807084577
cLISI,source_7,0.961940240379258,0.9483293192867,0.960869527900659,1,0.957026000593582,0.973099472247972
cLISI,source_8,0.958580876970243,0.998096136170174,0.95864090865104,0.987236634598499,0.965373415349391,0.953619203303206
cLISI,source_9,0.972276705559575,0.972897579205735,0.973510129958063,0.976914427411991,0.967504736188097,0.975940450766275
iLISI,source_10,0.165033021947056,0.000347908200286406,0.198231657403842,0,0.321014550678415,0.34057642660139
iLISI,source_11,0.416057999400443,0.0252392608106908,0.51190812517141,0.526833871488409,0.522537562626154,0.618870392301699
iLISI,source_13,0.274930732988507,0.00155266456980869,0.33603589419859,0.661307551019687,0.322832873524065,0.326172767636004
iLISI,source_2,0.155684347079149,4.93432455388958e-17,0.201680234018302,0,0.133628519060674,0.27391248663548
iLISI,source_3,0.169012047809224,0.00185949758811207,0.18616122516424,0,0.202060334012612,0.365593434365328
iLISI,source_4,0.0925557264361377,0.00854355751746818,0.111378309121454,0,0.269711022980462,0.394402280084466
iLISI,source_5,0.0853146333892115,0.00065987511473612,0.141720510010328,0.293542541075473,0.180924601904237,0.346772028848128
iLISI,source_6,0.176266489288354,0.0104475522288656,0.188915666315147,0,0.194470485666292,0.398670988254001
iLISI,source_7,0.0626328425134661,0.000117579050412283,0.165264341967421,0,0.151424147937473,0.471492132363485
iLISI,source_8,0.00112851076557326,2.96059473233375e-16,0.180334039898694,0.914687462179242,0.0861771678146173,0.0364301280647729
iLISI,source_9,0.0409706322248515,0.00107873717754547,0.120344922655784,0.549858631465696,0.212540245439874,0.246585474056689
kBET,source_2,0,0.00024,1e-05,0.05321,0.00151,0.01508
kBET,source_3,0.49636,0.05422,1e-04,0.99987,0.02945,0.55938
kBET,source_4,0.34543,0.01534,0.04257,0.9995,0.00303,0.54242
kBET,source_5,0.17474,0.01372,0.02637,0.99988,0.00285,0.29436
kBET,source_6,0.03785,0.01536,0.01576,0.99977,0.00255,0.38406
kBET,source_7,0,0.01278,0.15102,0.74132,0.02939,0.61374
kBET,source_8,0,0.215,0.40462,0.96385,0.18538,0.21462
kBET,source_9,0.00916,1e-05,0.00131,0.2817,6e-05,0.0906
kBET,source_10,0.05101,0.00692,0.05263,0.69183,0.00712,0.40151
kBET,source_11,2e-04,0.00288,0.02122,0.4451,0.04031,0.64012
kBET,source_13,0,0.00112,0.01021,0.63652,0.04524,0.80023
